,smiles_parent,PC_uM_sign,PC_uM_value
0,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,,3.7
1,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,,1.08
2,Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,,1.68
3,CCOCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,,12.7
4,Nc1nc(N)c(-c2ccc(Cl)cc2)c(COc2ccc([N+](=O)[O-])cc2)n1,,85.1
5,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(C=CCc2ccccc2)n1,,0.5
6,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(COc2ccccc2)n1,,13.5
7,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(COc2cccc3ccccc23)n1,,3.9
8,Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(C=Cc2ccc3ccccc3c2)n1,,12.8
9,N#CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,,490.0
10,Nc1nc(N)c(-c2ccc(Cl)cc2)c(C(F)(F)F)n1,>,42.0
11,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CNc2ccc([N+](=O)[O-])cc2)n1,,17.0
12,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+](=O)[O-])c1,,0.85
13,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=[N+]=[N-])c1,,1.33
14,CCc1nc(N)nc(N)c1-c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,,5.05
15,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+]#N)c1,,0.19
16,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)C)c1,,2.8
17,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=CN(C)C)c1,,10.6
18,CCc1nc(N)nc(N)c1-c1ccc(N2CCCCC2)cc1,,12.0
19,CCc1nc(N)nc(N)c1-c1ccc([N+](=O)[O-])c(N(C)Cc2ccccc2)c1,,1.6
20,CCc1nc(N)nc(N)c1-c1ccc(N)c(N(C)Cc2ccccc2)c1,,3.6
21,CCc1nc(N)nc(N)c1-c1ccc([N+](=O)[O-])c(N(CC)Cc2ccccc2)c1,,5.7
22,CCc1nc(N)nc(N)c1-c1ccc([N+](=O)[O-])c(Cc2ccccc2)c1,,1.03
23,CCc1nc(NS(C)(=O)=O)nc(NS(C)(=O)=O)c1-c1ccc(Cl)cc1,,1.4
24,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccccc2)c1,,0.17
25,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(-n2cc(Cc3ccccc3)nn2)c1,,5.18
26,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(-n2cc(-c3ccccc3)nn2)c1,,3.53
27,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(-n2ccnn2)c1,,24.8
28,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+]2=NN(Cc3ccccc3)CC2)c1,,13.5
29,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(NC(=O)c2ccccc2)c1,,10.8
30,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(NC(=O)c2cc(OC)c(OC)c(OC)c2)c1,,1.3
31,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(NCc2ccccc2)c1,,0.12
32,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N(C)Cc2cc(OC)c(OC)c(OC)c2)c1,,1.07
33,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccccc2)c([N+](=O)[O-])c1,,1.03
34,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccccc2)c([N+](=O)[O-])c1,,1.6
35,CCc1nc(N)nc(N)c1-c1ccc(Cl)c([N+](=O)[O-])c1,,0.85
36,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)O)cc2)c([N+](=O)[O-])c1,,0.27
37,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccc(C(=O)O)cc2)c([N+](=O)[O-])c1,,0.27
38,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccc(C(=O)NC)cc2)c([N+](=O)[O-])c1,,0.46
39,CCc1nc(N)nc(N)c1-c1ccc(N(C)Cc2ccc(C3=NC(C)(C)CO3)cc2)c([N+](=O)[O-])c1,,0.95
40,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C3OCCO3)cc2)c([N+](=O)[O-])c1,,0.93
41,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(N)=O)cc2)c([N+](=O)[O-])c1,,0.53
42,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)NC)cc2)c([N+](=O)[O-])c1,,0.58
43,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)N3CCCCC3)cc2)c([N+](=O)[O-])c1,,2.2
44,CCc1nc(N)nc(N)c1-c1ccc(NCc2ccc(C(=O)N(C)C)cc2)c([N+](=O)[O-])c1,,1.3
45,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)C)c1,,2.8
46,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=CN(C)C)c1,,10.6
47,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NNC)c1,,4.6
48,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CC)c1,,14.1
49,CCCN(C)N=Nc1cc(-c2c(N)nc(N)nc2CC)ccc1Cl,,10.2
50,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)Cc2ccccc2)c1,,2.8
51,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CCN(CC)CC)c1,,18.2
52,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CC)CC)c1,,29.3
53,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C(C)(C)C)C(C)(C)C)c1,>,11.0
54,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCCC2)c1,>,11.0
55,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCCCC2)c1,,40.4
56,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCN(C)CC2)c1,,8.5
57,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCC(O)CC2)c1,,3.3
58,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCOCC2)c1,,1.7
59,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CCO)c1,,3.5
60,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CC)CCO)c1,,11.5
61,CCCN(CCO)N=Nc1cc(-c2c(N)nc(N)nc2CC)ccc1Cl,,2.5
62,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)C(C)(C)C)c1,,4.9
63,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)Cc2ccccc2)c1,,0.26
64,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)CCO)c1,,0.44
65,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC)CCOC)c1,,0.91
66,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(C)CC2OCCO2)c1,,0.57
67,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN2CCc3ccccc3C2)c1,,5.0
68,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccccc2)c1,,0.17
69,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc(OC)c(OC)c2)c1,,1.4
70,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2cc(OC)cc(OC)c2)c1,,0.86
71,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2cc(OC)c(OC)c(OC)c2)c1,,1.5
72,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccccc2F)c1,,92.0
73,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2cccc(F)c2)c1,,2.22
74,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc(F)cc2)c1,,1.91
75,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccccc2Cl)c1,,4.7
76,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2cccc(Cl)c2)c1,,0.58
77,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc(Cl)cc2)c1,,0.94
78,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccccc2C)c1,,11.08
79,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2cccc(C)c2)c1,,5.29
80,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc(C)cc2)c1,,1.7
81,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc(C(F)(F)F)cc2)c1,,1.35
82,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2cccc([N+](=O)[O-])c2)c1,,1.3
83,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2cccc3ccccc23)c1,,0.053
84,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc3ccccc3c2)c1,,0.59
85,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccncc2)c1,,3.46
86,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc([N+](=O)[O-])cc2)c1,,1.21
87,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCCO)Cc2ccccc2)c1,,0.68
88,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)CCc2ccccc2)c1,,0.48
89,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCO)C(C)c2ccccc2)c1,,1.09
90,CCC(=O)OCCN(Cc1ccccc1)N=Nc1cc(-c2c(N)nc(N)nc2CC)ccc1Cl,,1.3
91,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(=O)C(C)C)Cc2ccccc2)c1,,1.2
92,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(=O)c2ccccc2)Cc2ccccc2)c1,,0.85
93,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(N=NN(CCOC(C)=O)Cc2ccc(OC)cc2)c1,,2.1
94,CC1(C)N=C(N)N=C(N)N1c1ccc(C(=O)O)cc1,>,52.0
95,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,,0.154
96,Cc1cccc(C)c1N1C(N)=NC(N)=NC1(C)C,>,20.0
97,CC1(C)N=C(N)N=C(N)N1c1cccc2ccccc12,,0.72
98,CC1(C)N=C(N)N=C(N)N1c1cccc(CCCCc2ccc(Cl)cc2Cl)c1,,0.36
99,CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccc(Cl)cc2Cl)cc1,,2.23
100,CC1(C)N=C(N)N=C(N)N1c1cccc(OCCCOc2ccc(N)cc2)c1,,0.17
101,CC1(C)N=C(N)N=C(N)N1c1cccc(OCc2cccc(N)c2)c1,,1.4
102,CC1(C)N=C(N)N=C(N)N1c1cccc(OCCOc2ccc(N)cc2)c1,,0.47
103,CC1(C)N=C(N)N=C(N)N1c1ccc(CCC(=O)Nc2ccc(S(=O)(=O)F)cc2)cc1,,0.59
104,CC1(C)N=C(N)N=C(N)N1c1cccc(C#N)c1,,1.6
105,CC1(C)N=C(N)N=C(N)N1c1ccc(OCC(=O)Nc2cccc(S(=O)(=O)F)c2)cc1,,1.0
106,CC1(C)N=C(N)N=C(N)N1c1ccc(OCCNS(=O)(=O)c2cccc(S(=O)(=O)F)c2)c(Cl)c1,,0.34
107,CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccccc2)cc1,,0.31
108,CC1(C)N=C(N)N=C(N)N1c1cccc(CCc2ccccc2)c1,,0.43
109,CC1(C)N=C(N)N=C(N)N1c1ccc(CCc2ccccc2)cc1,,0.57
110,CC1(C)N=C(N)N=C(N)N1c1cccc(CCCCOc2ccccc2)c1,,0.27
111,CC1(C)N=C(N)N=C(N)N1c1ccc(N)cc1,,70.9
112,CC1(C)N=C(N)N=C(N)N1c1ccc(OCC(=O)Nc2ccccc2)c(Cl)c1,,0.3
113,CC1(C)N=C(N)N=C(N)N1c1cccc(CC(=O)Nc2ccccc2)c1,,0.44
114,COc1cc(N2C(N)=NC(N)=NC2(C)C)cc(OC)c1OC,>,26.0
115,CC1(C)N=C(N)N=C(N)N1c1ccc(C(C#N)CCCc2ccccc2)cc1,,6.1
116,CC1(C)N=C(N)N=C(N)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,66.9
117,COc1ccc(OC)c(N2C(N)=NC(N)=NC2(C)C)c1,>,60.0
118,COc1ccc(N2C(N)=NC(N)=NC2(C)C)c(OC)c1OC,,20.4
119,COc1ccc(N2C(N)=NC(N)=NC2(C)C)c(OC)c1,>,90.0
120,COc1cc(OC)cc(N2C(N)=NC(N)=NC2(C)C)c1,,12.9
121,COc1cc(N2C(N)=NC(N)=NC2(C)C)cc(OC)c1OC,>,100.0
122,CC1(C)N=C(N)N=C(N)N1c1ccc2cc(Cl)ccc2c1,,4.4
123,CC1(C)N=C(N)N=C(N)N1c1ccc2c(Cl)c(Cl)ccc2c1,,3.0
124,CC1(C)N=C(N)N=C(N)N1c1ccc2c(Cl)cc(Cl)cc2c1,,0.84
125,COc1ccc2c(c1)CCc1nc(N)nc(N)c1-2,,6.2
126,Cc1cc2c(cc1C)-c1c(N)nc(N)nc1CC2,,0.59
127,Nc1nc(N)c2c(n1)CCc1c(Cl)cc(Cl)cc1-2,,1.07
128,Nc1nc(N)c2c(ccc3ccc(Cl)cc32)n1,,0.12
129,Cc1ccc2c(ccc3nc(N)nc(N)c32)c1,,0.46
130,Cc1nc2nc(N)nc(N)c2c2c1CCCC2,,1.0
131,CCc1nc2nc(N)nc(N)c2c2c1CCCC2,>,30.0
132,CSc1nc2nc(N)nc(N)c2c2c1CCCC2,>,30.0
133,Nc1nc(N)c2c3c(c(-c4ccccc4)nc2n1)CCCC3,,6.8
134,Nc1nc(N)c2c3c(cnc2n1)CCCC3,>,30.0
135,Nc1nc(N)c2c3c(oc2n1)CN(Cc1ccccc1)CC3,>,9.0
136,COc1cc(CN2CCc3c(oc4nc(N)nc(N)c34)C2)cc(OC)c1OC,>,35.0
137,COc1cc(CN2CCc3c(oc4nc(N)nc(N)c34)C2)cc(OC)c1,>,22.8
138,Nc1nc(N)c2c3c(oc2n1)CN(Cc1ccc(Cl)cc1Cl)CC3,,22.6
139,Nc1nc(N)c2c3c(oc2n1)CN(Cc1ccc(Cl)c(Cl)c1)CC3,,24.1
140,Nc1nc(N)c2c3c(oc2n1)CN(Cc1c(Cl)cccc1Cl)CC3,,40.5
141,Nc1nc(N)c2c3c(oc2n1)CN(Cc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CC3,,10.9
142,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,,0.0013
143,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,,3.5e-05
144,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CC(=O)O)C(=O)O)cc3)cnc2n1,,0.028
145,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Br,,0.00021
146,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Br,,0.00109
147,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1F,,0.00072
148,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,,0.00088
149,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCCN)C(=O)O)cc1,>,8.0
150,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)O)cc1,,0.94
151,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1I,,0.000104
152,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(F)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1F,,0.00051
153,Cc1cc(C(=O)O)cc(C)c1N(C)Cc1cnc2nc(N)nc(N)c2n1,,0.19
154,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1C(F)(F)F,,0.00031
155,COc1cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc1N(C)Cc1cnc2nc(N)nc(N)c2n1,,0.00049
156,CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,,0.00035
157,NC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1,,153000.0
158,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccccc1,,10.0
159,CC(=O)Nc1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1,,7.1
160,CC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1,,0.72
161,CN(C)C(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1,>,5.0
162,CCCNC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1,,3.1
163,Nc1nc(N)c2nc(CSc3ccccc3)cnc2n1,,9.5
164,Nc1nc(N)c2nc(CNc3cccc4ccccc34)cnc2n1,,0.13
165,Nc1nc(N)c2nc(CSc3cccc4ccccc34)cnc2n1,,4.2
166,Cc1cccc(SCc2cnc3nc(N)nc(N)c3n2)c1,,21.2
167,Cc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1,,30.0
168,COc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1,,17.2
169,COc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1OC,,58.2
170,Nc1nc(N)c2nc(CSc3cccc(Cl)c3)cnc2n1,,42.2
171,Nc1nc(N)c2nc(CSc3ccc(Cl)cc3)cnc2n1,,42.1
172,Nc1nc(N)c2nc(CNc3ccc(Cl)cc3)cnc2n1,,1.5
173,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3n2)c1,>,3.0
174,COc1cccc(C)c1NCc1cnc2nc(N)nc(N)c2n1,,15.8
175,COc1ccc(OC)c(NCc2cnc3nc(N)nc(N)c3n2)c1,,6.2
176,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3n2)c1,,3.9
177,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(OC)c1,,0.96
178,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(OC)c1OC,,7.0
179,COc1ccc(C(F)(F)F)cc1NCc1cnc2nc(N)nc(N)c2n1,,21.0
180,COc1cc(NCc2cnc3nc(N)nc(N)c3n2)cc(C(F)(F)F)c1,,0.68
181,Nc1nc(N)c2nc(CCc3cccc4ccccc34)cnc2n1,,97.0
182,COc1ccc(OC)c(CCc2cnc3nc(N)nc(N)c3n2)c1,,11.1
183,Nc1nc(N)c2nc(COC(=O)c3ccccc3)cnc2n1,,9.8
184,COc1cccc(SCc2cnc3nc(N)nc(N)c3n2)c1,,9.9
185,Nc1nc(N)c2nc(COC(=O)Cc3ccccc3)cnc2n1,,11.2
186,Nc1nc(N)c2nc(C=CC(=O)Oc3ccccc3)cnc2n1,,2.1
187,Cc1cnc2nc(N)nc(N)c2n1,>,20.0
188,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)c2ccccc12,,0.00019
189,Nc1nc(N)c2nc(CSc3ccccc3)cnc2n1,,9.5
190,Nc1nc(N)c2nc(CNc3ccccc3)cnc2n1,>,1.9
191,Nc1nc(N)c2nc(COc3ccccc3)cnc2n1,,136.0
192,Nc1nc(N)c2nc(CNc3cccc4ccccc34)cnc2n1,,0.13
193,CCCCc1ccc(Cc2nc3nc(N)nc(N)c3nc2Cc2ccc(CCCC)cc2)cc1,,3.9
194,Nc1nc(N)c2nc(Cc3cccc(C(F)(F)F)c3)c(Cc3cccc(C(F)(F)F)c3)nc2n1,,26.0
195,Nc1nc(N)c2nc(Cc3ccc(Cl)cc3)c(Cc3ccc(Cl)cc3)nc2n1,,5.9
196,Nc1nc(N)c2nc(Cc3ccc(Cl)c(Cl)c3)c(Cc3ccc(Cl)c(Cl)c3)nc2n1,,4.4
197,Nc1nc(N)c2nc(CCc3ccccc3)c(CCc3ccccc3)nc2n1,,4.9
198,Nc1nc(N)c2nc(CCCc3ccccc3)c(CCCc3ccccc3)nc2n1,,1.1
199,Nc1nc(N)c2nc(CC3CCCCC3)c(CC3CCCCC3)nc2n1,,2.6
200,Nc1nc(N)c2nc(Cc3ccc4ccccc4c3)c(Cc3ccc4ccccc4c3)nc2n1,,4.0
201,Nc1nc(N)c2nc3c(ccc4ccccc43)nc2n1,,18.4
202,CC(C)Cc1nc2nc(N)nc(N)c2nc1CC(C)C,,0.082
203,CC(C)c1nc2nc(N)nc(N)c2nc1C(C)C,,0.2
204,CCc1nc2nc(N)nc(N)c2nc1CC,,0.62
205,CCCCCc1nc2nc(N)nc(N)c2nc1CCCCC,,1.5
206,CCc1nc2nc(N)nc(N)c2nc1-c1ccccc1OC,,2.0
207,Nc1nc(N)c2nc(CC3CCCCC3)c(CC3CCCCC3)nc2n1,>,5.0
208,CCCCCCc1nc2nc(N)nc(N)c2nc1CCCCCC,>,5.0
209,Nc1nc(N)c2nc(CN3c4ccccc4CCc4ccccc43)cnc2n1,,1.4
210,Nc1nc(N)c2nc(CN3c4ccccc4Oc4ccccc43)cnc2n1,,3.4
211,Nc1nc(N)c2nc(CN(c3ccccc3)c3ccccc3)cnc2n1,,4.9
212,Nc1nc(N)c2nc(CN3c4ccccc4Cc4ccccc43)cnc2n1,,0.042
213,Nc1nc(N)c2nc(CN3c4ccccc4Sc4ccccc43)cnc2n1,,0.12
214,Nc1nc(N)c2nc(Cn3c4ccccc4c4ccccc43)cnc2n1,,0.1
215,Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4ccccc43)cnc2n1,,0.21
216,Nc1nc(N)c2nc(CO)cnc2n1,>,51.0
217,Cc1c(CNc2ccc(C(=O)NC(CC(=O)O)C(=O)O)cc2)ccc2nc(N)nc(N)c12,,0.00042
218,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,0.042
219,Cc1c(CNc2ccc(C(=O)NC(CC(=O)O)CC(=O)O)cc2)ccc2nc(N)nc(N)c12,,0.00022
220,Cc1c(CNc2ccc(Cl)c(C(=O)NC(CC(=O)O)C(=O)O)c2)ccc2nc(N)nc(N)c12,,0.0054
221,CCc1c(CNc2ccc(C(=O)NC(CC(=O)O)C(=O)O)cc2)ccc2nc(N)nc(N)c12,,0.0097
222,COc1cc(Cc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1,,0.031
223,COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3c2Cl)c1,,0.051
224,COc1cc(NCc2ccc3nc(N)nc(N)c3c2Cl)cc(OC)c1OC,,0.033
225,COc1cc(N(C)Cc2ccc3nc(N)nc(N)c3c2Cl)cc(OC)c1OC,,0.012
226,COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2Cl)c1,,0.053
227,COc1ccc(OC)c(CCNc2ccc3nc(N)nc(N)c3c2Cl)c1,,12.0
228,COc1ccc(OC)c(CCCNc2ccc3nc(N)nc(N)c3c2Cl)c1,,26.0
229,COc1cc(CNc2ccc3nc(N)nc(N)c3c2Cl)cc(OC)c1OC,,0.033
230,COc1cc(CCNc2ccc3nc(N)nc(N)c3c2Cl)cc(OC)c1OC,,43.0
